index,antichain_minimals,family_size,min_freq_before,var_before,compressed_changed,min_freq_after,var_after,freqs_before,freqs_after
0,[[0]],2,0.0,0.046875,False,0.0,0.046875,"[0.5, 0.0, 0.0, 0.0]","[0.5, 0.0, 0.0, 0.0]"
1,"[[0], [1]]",4,0.0,0.0625,True,0.0,0.076389,"[0.5, 0.5, 0.0, 0.0]","[0.666667, 0.333333, 0.0, 0.0]"
2,"[[0], [1], [2]]",8,0.0,0.046875,True,0.0,0.078125,"[0.5, 0.5, 0.5, 0.0]","[0.75, 0.5, 0.25, 0.0]"
3,"[[0], [1], [2], [3]]",16,0.5,0.0,True,0.2,0.05,"[0.5, 0.5, 0.5, 0.5]","[0.8, 0.6, 0.4, 0.2]"
4,"[[0], [1], [2, 3]]",8,0.5,0.0,True,0.2,0.05,"[0.5, 0.5, 0.5, 0.5]","[0.8, 0.6, 0.4, 0.2]"
5,"[[0], [1, 2]]",4,0.0,0.046875,True,0.0,0.078125,"[0.5, 0.5, 0.5, 0.0]","[0.75, 0.5, 0.25, 0.0]"
6,"[[0], [1, 2], [1, 3]]",8,0.5,0.011719,True,0.2,0.05,"[0.5, 0.75, 0.5, 0.5]","[0.8, 0.6, 0.4, 0.2]"
7,"[[0], [1, 2], [1, 3], [2, 3]]",10,0.5,0.001875,True,0.2,0.05,"[0.5, 0.6, 0.6, 0.6]","[0.8, 0.6, 0.4, 0.2]"
8,"[[0], [1, 2, 3]]",4,0.5,0.0,True,0.25,0.03125,"[0.5, 0.5, 0.5, 0.5]","[0.75, 0.5, 0.5, 0.25]"
9,"[[0, 1]]",2,0.0,0.0625,False,0.0,0.0625,"[0.5, 0.5, 0.0, 0.0]","[0.5, 0.5, 0.0, 0.0]"
10,"[[0, 1], [0, 2]]",4,0.0,0.074219,True,0.0,0.076389,"[0.75, 0.5, 0.5, 0.0]","[0.666667, 0.666667, 0.333333, 0.0]"
11,"[[0, 1], [0, 2], [1, 2]]",5,0.0,0.0675,True,0.0,0.076389,"[0.6, 0.6, 0.6, 0.0]","[0.666667, 0.666667, 0.333333, 0.0]"
12,"[[0, 1], [0, 2], [1, 2], [0, 3]]",9,0.444444,0.01466,True,0.25,0.042969,"[0.777778, 0.555556, 0.555556, 0.444444]","[0.75, 0.75, 0.5, 0.25]"
13,"[[0, 1], [0, 2], [1, 2], [0, 3], [1, 3]]",11,0.545455,0.002066,True,0.25,0.042969,"[0.636364, 0.636364, 0.545455, 0.545455]","[0.75, 0.75, 0.5, 0.25]"
14,"[[0, 1], [0, 2], [1, 2], [0, 3], [1, 3], [2, 3]]",12,0.583333,0.0,True,0.25,0.042969,"[0.583333, 0.583333, 0.583333, 0.583333]","[0.75, 0.75, 0.5, 0.25]"
15,"[[0, 1], [0, 2], [0, 3]]",8,0.5,0.026367,True,0.25,0.042969,"[0.875, 0.5, 0.5, 0.5]","[0.75, 0.75, 0.5, 0.25]"
16,"[[0, 1], [0, 2], [0, 3], [1, 2, 3]]",9,0.555556,0.009259,True,0.25,0.042969,"[0.777778, 0.555556, 0.555556, 0.555556]","[0.75, 0.75, 0.5, 0.25]"
17,"[[0, 1], [0, 2], [1, 3]]",7,0.428571,0.020408,True,0.25,0.042969,"[0.714286, 0.714286, 0.428571, 0.428571]","[0.75, 0.75, 0.5, 0.25]"
18,"[[0, 1], [0, 2], [1, 3], [2, 3]]",10,0.6,0.0,True,0.25,0.042969,"[0.6, 0.6, 0.6, 0.6]","[0.75, 0.75, 0.5, 0.25]"
19,"[[0, 1], [0, 2], [1, 2, 3]]",6,0.333333,0.020833,True,0.25,0.042969,"[0.666667, 0.666667, 0.666667, 0.333333]","[0.75, 0.75, 0.5, 0.25]"
20,"[[0, 1], [2, 3]]",4,0.5,0.0,True,0.333333,0.027778,"[0.5, 0.5, 0.5, 0.5]","[0.666667, 0.666667, 0.333333, 0.333333]"
21,"[[0, 1], [0, 2, 3]]",4,0.5,0.011719,True,0.25,0.042969,"[0.75, 0.5, 0.5, 0.5]","[0.75, 0.75, 0.5, 0.25]"
22,"[[0, 1], [0, 2, 3], [1, 2, 3]]",5,0.6,0.0,True,0.25,0.042969,"[0.6, 0.6, 0.6, 0.6]","[0.75, 0.75, 0.5, 0.25]"
23,"[[0, 1, 2]]",2,0.0,0.046875,False,0.0,0.046875,"[0.5, 0.5, 0.5, 0.0]","[0.5, 0.5, 0.5, 0.0]"
24,"[[0, 1, 2], [0, 1, 3]]",4,0.5,0.015625,True,0.333333,0.020833,"[0.75, 0.75, 0.5, 0.5]","[0.666667, 0.666667, 0.666667, 0.333333]"
25,"[[0, 1, 2], [0, 1, 3], [0, 2, 3]]",5,0.6,0.0075,True,0.333333,0.020833,"[0.8, 0.6, 0.6, 0.6]","[0.666667, 0.666667, 0.666667, 0.333333]"
26,"[[0, 1, 2], [0, 1, 3], [0, 2, 3], [1, 2, 3]]",6,0.666667,0.0,True,0.333333,0.020833,"[0.666667, 0.666667, 0.666667, 0.666667]","[0.666667, 0.666667, 0.666667, 0.333333]"
27,"[[0, 1, 2, 3]]",2,0.5,0.0,False,0.5,0.0,"[0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.5]"
